CustomerID,Channel,Review_Text,Ad_Spend,Purchase_Value,Rating
1,Google Search,"Excellent product, exceeded my expectations!",361.3,250.93,4
2,Google Search,"I regret buying this, it doesn't work as described.",135.06,932.21,2
3,Social Media,"I regret buying this, it doesn't work as described.",411.35,745.61,4
4,Direct Access,The interface is confusing but the product is okay.,281.64,239.33,4
5,Social Media,"Value for money, highly recommended.",390.78,751.27,1
6,Google Search,"Value for money, highly recommended.",130.0,267.77,3
7,Direct Access,"I regret buying this, it doesn't work as described.",87.18,846.7,1
8,Social Media,The interface is confusing but the product is okay.,266.93,276.98,4
9,Google Search,"Average experience, could be better.",287.98,965.17,4
10,Google Search,Poor quality and very slow delivery.,363.34,592.84,1
11,Social Media,"I regret buying this, it doesn't work as described.",142.14,300.58,5
12,Google Search,"Excellent product, exceeded my expectations!",352.12,291.45,3
13,Google Search,Amazing customer support and high quality.,406.97,665.19,4
14,Email Marketing,"I regret buying this, it doesn't work as described.",68.78,669.95,4
15,Social Media,"Average experience, could be better.",483.51,372.95,5
16,Google Search,The interface is confusing but the product is okay.,488.93,834.73,5
17,Social Media,"I regret buying this, it doesn't work as described.",297.8,477.15,2
18,Email Marketing,Poor quality and very slow delivery.,79.21,832.47,4
19,Social Media,"Excellent product, exceeded my expectations!",205.36,338.69,2
20,Email Marketing,"Excellent product, exceeded my expectations!",59.19,985.08,1
21,Social Media,Amazing customer support and high quality.,410.38,885.07,5
22,Direct Access,Fast shipping but the packaging was damaged.,143.57,503.67,5
23,Social Media,"Average experience, could be better.",114.46,401.85,3
24,Social Media,Poor quality and very slow delivery.,364.95,126.74,3
25,Direct Access,Fast shipping but the packaging was damaged.,76.08,991.84,1
26,Direct Access,Poor quality and very slow delivery.,165.47,712.85,1
27,Email Marketing,Fast shipping but the packaging was damaged.,279.65,270.24,2
28,Social Media,Poor quality and very slow delivery.,497.87,140.54,1
29,Direct Access,Amazing customer support and high quality.,115.93,111.83,3
30,Email Marketing,The interface is confusing but the product is okay.,252.28,695.63,1
31,Email Marketing,"Average experience, could be better.",320.65,196.76,5
32,Google Search,Fast shipping but the packaging was damaged.,93.77,378.96,5
33,Social Media,"Value for money, highly recommended.",179.93,377.15,4
34,Social Media,"Value for money, highly recommended.",374.36,205.73,3
35,Email Marketing,"Excellent product, exceeded my expectations!",297.86,952.24,4
36,Google Search,"I regret buying this, it doesn't work as described.",427.36,979.65,4
37,Direct Access,"Average experience, could be better.",311.15,914.03,4
38,Email Marketing,"Value for money, highly recommended.",133.06,816.56,5
39,Google Search,"Excellent product, exceeded my expectations!",326.98,158.89,5
40,Google Search,Amazing customer support and high quality.,449.13,745.33,5
41,Google Search,Fast shipping but the packaging was damaged.,282.56,510.32,4
